target,x,y,d1,d2
develop,I developed a relationship with them,We developed a relationship with them,They developed a relationship with them,She developed a relationship with them
serve,It serves as a flexibility layer,They serve as a flexibility layer,You serve as a flexibility layer,We serve as a flexibility layer
happen,It always happens,They always happen,You always happen,We always happen
try,She only tried it once,They only tried it once,You only tried it once,We only tried it once
learn,I can learn from these grimy men,We can learn from these grimy men,You can learn from these grimy men,They can learn from these grimy men
name,I named my Triumph GT6,We named our Triumph GT6,You named your Triumph GT6,They named their Triumph GT6
cover,It covers some 550 acres,They cover some 550 acres,You cover some 550 acres,We cover some 550 acres
have,You cannot have one without the other,You cannot have one without the other,We cannot have one without the other,They cannot have one without the other
attend,I will NEVER attend another event there,We will NEVER attend another event there,You will NEVER attend another event there,They will NEVER attend another event there
put,You can't put them off forever,You can't put them off forever,We can't put them off forever,They can't put them off forever
go,You can always go back up for another,You can always go back up for another,We can always go back up for another,They can always go back up for another
exist,It already exists,They already exist,You already exist,We already exist
publish,She frequently publishes her work in journals,They frequently publish their work in journals,You frequently publish your work in journals,We frequently publish our work in journals
take,I took it gladly,We took it gladly,You took it gladly,They took it gladly
deliver,It delivers a stunning visual experience,They deliver a stunning visual experience,You deliver a stunning visual experience,We deliver a stunning visual experience
address,You never addressed my first argument,You never addressed my first argument,We never addressed my first argument,They never addressed my first argument
end,He ended the division of Germany,They ended the division of Germany,You ended the division of Germany,We ended the division of Germany
wear,You must wear protective gear,You must wear protective gear,We must wear protective gear,They must wear protective gear
name,I can't name any,We can't name any,You can't name any,They can't name any
let,I couldn't let my people down,We couldn't let our people down,He couldn't let his people down,You couldn't let your people down
prevent,It Can Prevent More Serious Digestive Disorders,They Can Prevent More Serious Digestive Disorders,You Can Prevent More Serious Digestive Disorders,I Can Prevent More Serious Digestive Disorders
perform,I still perform it,We still perform it,You still perform it,They still perform it
replace,You can't replace that,You can't replace that,I can't replace that,She can't replace that
describe,He describes every conceivable escapement mechanism,They describe every conceivable escapement mechanism,You describe every conceivable escapement mechanism,I describe every conceivable escapement mechanism
drive,She drove him,They drove him,You drove him,I drove him
offer,It offers much more,They offer much more,You offer much more,I offer much more
believe,I believed it too,We believed it too,You believed it too,They believed it too
suggest,He even suggested the title,They even suggested the title,You even suggested the title,I even suggested the title
teach,She teaches history at Georgetown University,They teach history at Georgetown University,You teach history at Georgetown University,I teach history at Georgetown University
go,You can't go wrong,You can't go wrong,I can't go wrong,She can't go wrong
describe,I'll describe my design,We'll describe our design,You'll describe your design,They'll describe their design
pick,You could pick one from the air,You could pick one from the air,He could pick one from the air,We could pick one from the air
state,You clearly stated maybe,You clearly stated maybe,He clearly stated maybe,I clearly stated maybe
look,I then looked at H,We then looked at H,They then looked at H,You then looked at H
face,He must now face the consequences,They must now face the consequences,You must now face the consequences,I must now face the consequences
prevent,It can even prevent constipation,They can even prevent constipation,You can even prevent constipation,We can even prevent constipation
replace,It replaced my desktop years ago,They replaced my desktop years ago,You replaced my desktop years ago,I replaced my desktop years ago
develop,You must develop this skill,You must develop this skill,He must develop this skill,I must develop this skill
regard,He regarded Winsted as his hometown,They regarded Winsted as their hometown,You regarded Winsted as your hometown,I regarded Winsted as my hometown
define,It defines conformance for this document,They define conformance for this document,You define conformance for this document,We define conformance for this document
go,He went down the list,They went down the list,You went down the list,I went down the list
define,I can only define success for myself,We can only define success for ourselves,You can only define success for yourself,They can only define success for themselves
focus,You focus on nonsense,You focus on nonsense,He focuses on nonsense,We focus on nonsense
hope,I would hope not,We would hope not,You would hope not,They would hope not
enable,It will enable you to,They will enable you to,I will enable you to,We will enable you to
regard,I regarded this as pretty dull,We regarded this as pretty dull,He regarded this as pretty dull,They regarded this as pretty dull
note,He further notes,They further note,We further note,I further note
fill,I fill in where,We fill in where,He fills in where,They fill in where
carry,I carried the Wave for years,We carried the Wave for years,He carried the Wave for years,They carried the Wave for years
love,I really love that,We really love that,He really loves that,They really love that
sell,It already sells more phones than Apple,They already sell more phones than Apple,You already sell more phones than Apple,We already sell more phones than Apple
remember,You may remember his Link Trainer,You may remember his Link Trainer,He may remember his Link Trainer,We may remember his Link Trainer
remember,I still vividly remember my first experience,We still vividly remember our first experience,You still vividly remember your first experience,They still vividly remember their first experience
support,I support them all,We support them all,He supports them all,They support them all
need,It needs your help,They need your help,You need their help,We need their help
occur,It also occurs naturally in bushfires,They also occur naturally in bushfires,You also occur naturally in bushfires,We also occur naturally in bushfires
play,I will play to them,We will play to them,He will play to them,They will play to them
visit,I visited this shop recently,We visited this shop recently,He visited this shop recently,They visited this shop recently
replace,I replaced this with another snack,We replaced this with another snack,He replaced this with another snack,They replaced this with another snack
carry,It can carry four players,They can carry four players,You can carry four players,We can carry four players
protect,He protects his master,They protect their master,You protect your master,We protect our master
meet,She never met a stranger,They never met a stranger,You never met a stranger,We never met a stranger
do,I can do it all at home,We can do it all at home,You can do it all at home,They can do it all at home
contain,It contains three frames,They contain three frames,You contain three frames,We contain three frames
wait,I can't wait for more,We can't wait for more,You can't wait for more,They can't wait for more
fall,I fell in behind him,We fell in behind him,You fell in behind him,They fell in behind him
address,It must now address humanitarian crisis more decisively,They must now address humanitarian crisis more decisively,You must now address humanitarian crisis more decisively,We must now address humanitarian crisis more decisively
compare,It compared methadone vs heroin treatments,They compared methadone vs heroin treatments,You compared methadone vs heroin treatments,We compared methadone vs heroin treatments
involve,It involves self-denial and unexpected pain,They involve self-denial and unexpected pain,You involve self-denial and unexpected pain,We involve self-denial and unexpected pain
change,It changed our world utterly,They changed our world utterly,You changed our world utterly,We changed our world utterly
say,I said no,We said no,He said no,They said no
serve,He served,They served,We served,I served
walk,I walked away,We walked away,You walked away,They walked away
increase,It also increases the risk of miscarriage,They also increase the risk of miscarriage,You also increase the risk of miscarriage,We also increase the risk of miscarriage
determine,He alone can determine our eternal destiny,They alone can determine our eternal destiny,You alone can determine our eternal destiny,We alone can determine our eternal destiny
help,He helped Dawson on the dig,They helped Dawson on the dig,You helped Dawson on the dig,We helped Dawson on the dig
reach,You can reach Tim at 686-1127,You can reach Tim at 686-1127,He can reach Tim at 686-1127,We can reach Tim at 686-1127
let,she let the question hang,they let the question hang,he let the question hang,we let the question hang
announce,I also announced it on LinkedIn,They also announced it on LinkedIn,You also announced it on LinkedIn,He also announced it on LinkedIn
avoid,You must avoid cross-contamination,You must avoid cross-contamination,I must avoid cross-contamination,She must avoid cross-contamination
create,He created a great sundial,They created a great sundial,You created a great sundial,I created a great sundial
hear,I personally heard racial remarks,We personally heard racial remarks,You personally heard racial remarks,They personally heard racial remarks
accept,He accepted it with a smile,They accepted it with a smile,You accepted it with a smile,I accepted it with a smile
hope,I hope he will,We hope he will,You hope he will,They hope he will
continue,He continued that theme in Korea,They continued that theme in Korea,I continued that theme in Korea,We continued that theme in Korea
set,It will set the direction of overflows,They will set the direction of overflows,You will set the direction of overflows,We will set the direction of overflows
remain,He remains an active board member,They remain active board members,You remain an active board member,I remain an active board member
describe,It described relief efforts,They described relief efforts,You described relief efforts,We described relief efforts
return,He never returned to the South,They never returned to the South,You never returned to the South,I never returned to the South
see,You'll see,You'll see,He'll see,We'll see
have,You always had glitches,You always had glitches,I always had glitches,She always had glitches
define,It defines cool,They define cool,You define cool,We define cool
apply,It only applies to fullscreen GL apps,They only apply to fullscreen GL apps,You only apply to fullscreen GL apps,We only apply to fullscreen GL apps
mean,I mean it,We mean it,You mean it,They mean it
produce,It produces intangibles,They produce intangibles,You produce intangibles,We produce intangibles
include,It includes footage of her performing,They include footage of her performing,You include footage of her performing,I include footage of her performing
read,You can read that letter here,You can read that letter here,He can read that letter here,I can read that letter here
like,I like your program,We like your program,You like your program,They like your program
please,I'M PLEASED WITH ALL YOUR SONGS,WE'RE PLEASED WITH ALL YOUR SONGS,HE'S PLEASED WITH ALL YOUR SONGS,THEY'RE PLEASED WITH ALL YOUR SONGS
reduce,It reduces vehicle-related injuries and deaths,They reduce vehicle-related injuries and deaths,You reduce vehicle-related injuries and deaths,I reduce vehicle-related injuries and deaths
win,It also won the Canada Book Award,They also won the Canada Book Award,You also won the Canada Book Award,I also won the Canada Book Award
improve,It also improves audio quality,They also improve audio quality,You also improve audio quality,We also improve audio quality
lose,He lost the case,They lost the case,You lost the case,I lost the case
exist,She never existed,They never existed,You never existed,I never existed
think,I think,We think,You think,They think
raise,I raised my hands,We raised our hands,You raised your hands,They raised their hands
write,I will just write my own later,We will just write our own later,You will just write your own later,They will just write their own later
tell,I'll tell you,We'll tell you,You'll tell you,They'll tell you
enjoy,I really enjoy my role,We really enjoy our roles,You really enjoy your role,They really enjoy their roles
refer,I referred it to someone else,We referred it to someone else,You referred it to someone else,They referred it to someone else
locate,You can locate someone who,You can locate someone who,I can locate someone who,She can locate someone who
let,I will let this curiosity pass,We will let this curiosity pass,You will let this curiosity pass,They will let this curiosity pass
win,He won in a landslide,They won in a landslide,You won in a landslide,We won in a landslide
visit,I visited it yesterday,We visited it yesterday,You visited it yesterday,They visited it yesterday
attend,She attended every meeting,They attended every meeting,You attended every meeting,I attended every meeting
manage,You can't manage innovation,You can't manage innovation,I can't manage innovation,She can't manage innovation
perform,it performs the traversal of links,they perform the traversal of links,you perform the traversal of links,we perform the traversal of links
teach,I taught in Eastern Washington,We taught in Eastern Washington,You taught in Eastern Washington,They taught in Eastern Washington
wait,I still patiently wait,We still patiently wait,You still patiently wait,They still patiently wait
enter,You may enter up to 1500 characters,You may enter up to 1500 characters,He may enter up to 1500 characters,We may enter up to 1500 characters
have,You had a folder around?,You had a folder around?,He had a folder around?,I had a folder around?
kill,He kills them,They kill them,You kill them,I kill them
live,He lives in Ottawa,They live in Ottawa,You live in Ottawa,We live in Ottawa
feel,I feel so relieved today,We feel so relieved today,You feel so relieved today,They feel so relieved today
grow,I grew up,We grew up,You grew up,They grew up
put,You can't just put claims in my mouth,You can't just put claims in my mouth,They can't just put claims in my mouth,She can't just put claims in my mouth
show,It shows Leda and the Swan,They show Leda and the Swan,You show Leda and the Swan,We show Leda and the Swan
identify,I identify claims with strings,We identify claims with strings,You identify claims with strings,They identify claims with strings
buy,I subsequently bought the vehicle,We subsequently bought the vehicle,You subsequently bought the vehicle,They subsequently bought the vehicle
finish,She recently finished her analysis,They recently finished their analysis,You recently finished your analysis,I recently finished my analysis
do,I cannot do everything,We cannot do everything,You cannot do everything,They cannot do everything
improve,It also improves battery life,They also improve battery life,You also improve battery life,We also improve battery life
call,He called on all,They called on all,You called on all,We called on all
avoid,I avoid them,We avoid them,You avoid them,They avoid them
plan,He carefully planned his revenge,They carefully planned their revenge,You carefully planned your revenge,I carefully planned my revenge
have,It has a basic two-level structure,They have a basic two-level structure,You have a basic two-level structure,We have a basic two-level structure
accept,I accept terms and conditions,We accept terms and conditions,You accept terms and conditions,They accept terms and conditions
work,It more or less worked,They more or less worked,You more or less worked,We more or less worked
report,You may anonymously report online or call 1-877-516-3466,You may anonymously report online or call 1-877-516-3466,I may anonymously report online or call 1-877-516-3466,She may anonymously report online or call 1-877-516-3466
eat,You can't eat goodwill and happy thoughts,You can't eat goodwill and happy thoughts,We can't eat goodwill and happy thoughts,She can't eat goodwill and happy thoughts
represent,He regularly represents,They regularly represent,You regularly represent,I regularly represents
expect,I expect they will,We expect they will,You expect they will,He expects they will
close,I close in a month,We close in a month,You close in a month,They close in a month
create,It creates horrors,They create horrors,You create horrors,We create horrors
reduce,It can also reduce inequality and social exclusion,They can also reduce inequality and social exclusion,You can also reduce inequality and social exclusion,We can also reduce inequality and social exclusion
describe,It also describes Thursday's terrorists,They also describe Thursday's terrorists,You also describe Thursday's terrorists,We also describe Thursday's terrorists
live,She lives in Hancock County,They live in Hancock County,You live in Hancock County,I live in Hancock County
keep,It keeps the rest honest,They keep the rest honest,You keep the rest honest,We keep the rest honest
select,You can either select,You can either select,I can either select,She can either select
have,You have my word on that,You have my word on that,They have my word on that,She has my word on that
report,You can also report your implementation,You can also report your implementation,He can also report his implementation,I can also report my implementation
walk,He walks a terribly unstable path,They walk a terribly unstable path,You walk a terribly unstable path,We walk a terribly unstable path
protect,She protected convoys,They protected convoys,You protected convoys,I protected convoys
send,You can also send an email to EMAIL,You can also send an email to EMAIL,He can also send an email to EMAIL,They can also send an email to EMAIL
